RefSeq ID	FOXA2	HNF1A	HNF4A	HNF6	CREB1	USF1
NM_005745	0	0	1	1	0	0
NM_005393	0	0	0	0	0	0
NM_014370	0	0	0	0	0	0
NM_006280	0	0	0	0	0	0
NM_174869	0	0	0	0	0	0
NM_032512	0	0	0	0	0	0
NM_000054	0	0	0	0	0	0
NM_001666	0	0	0	0	0	0
NM_003491	0	0	0	0	0	0
NM_002910	0	0	0	0	0	0
NM_005334	0	0	0	0	0	0
NM_001569	0	0	0	1	0	0
NM_004992	0	0	0	0	0	0
NM_020061	0	0	0	0	0	0
NM_000513	0	0	0	0	0	0
NM_012253	0	0	0	0	0	0
NM_001586	0	0	0	0	0	0
NM_001456	0	0	0	0	1	0
NM_006013	0	0	0	0	0	0
NM_006730	0	0	0	0	0	0
NM_001009934	0	0	0	0	0	0
NM_001183	0	0	0	0	0	0
NM_004699	0	0	0	0	0	0
NM_017514	0	0	0	0	0	0
NM_006014	0	0	0	0	0	0
NM_014235	0	0	0	0	0	0
NM_021806	0	0	0	0	0	0
NM_003639	0	0	0	0	0	0
NM_000402	0	0	0	0	0	0
NM_139250	0	0	0	0	0	1
NM_172377	0	0	0	0	0	0
NM_080612	1	0	0	0	0	0
NM_001363	1	0	0	0	1	0
NM_002436	0	0	1	0	0	0
NM_000132	1	0	0	0	0	1
NM_024332	0	0	0	0	0	0
NM_014221	0	0	0	0	0	0
NM_003372	0	0	0	0	0	0
NM_171998	0	0	0	0	0	0
NM_001289	0	0	0	0	0	0
NM_080720	0	0	0	0	0	0
NM_012151	0	0	0	0	0	0
NM_018196	0	0	0	0	0	0
NM_005840	0	0	0	0	0	0
NM_005638	0	0	0	0	0	0
NM_176786	0	0	0	0	0	0
NM_182905	0	0	0	0	0	0
NM_198943	0	0	0	0	0	0
NM_001005484	0	0	0	0	0	0
NM_001005224	0	0	0	0	0	0
NM_024796	0	0	0	0	0	0
NM_152486	0	0	0	0	0	0
NM_198317	0	0	0	0	0	0
NM_015658	0	0	0	0	0	0
NM_032129	0	0	0	0	0	0
NM_021170	0	0	0	0	1	0
NM_005101	0	0	1	0	0	0
NM_017891	0	0	0	0	0	0
NM_153254	0	0	0	0	0	0
NM_148902	0	0	0	0	0	0
NM_003327	0	0	0	0	0	0
NM_080605	0	0	0	0	0	0
NM_194458	0	0	0	0	0	0
NM_030649	0	0	0	0	0	0
NM_017871	0	0	0	0	0	0
NM_004421	0	0	1	0	1	0
NM_032348	0	0	0	0	0	0
NM_017900	0	0	0	0	0	0
NM_017971	0	0	0	0	0	0
NM_199121	0	0	1	0	0	0
NM_031921	0	0	1	0	1	0
NM_018188	0	0	0	0	1	0
NM_014188	0	0	0	0	1	0
NM_182838	0	0	0	0	1	0
NM_023018	0	0	0	0	0	0
NM_002074	0	0	0	0	0	0
NM_138705	0	0	0	0	0	0
NM_178545	0	0	0	0	0	0
NM_001003808	0	0	0	0	0	0
NM_000815	0	0	0	1	0	0
NM_002744	0	0	1	0	0	0
NM_182533	0	0	0	0	0	0
NM_003036	0	0	0	0	0	0
NM_007033	0	0	1	0	1	0
NM_024848	0	0	1	0	1	0
NM_153818	0	0	0	0	0	0
